"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","regulation"
"2980",3.69801981351894,2.24128167725632,0.33123188939724,6.76650331384122,1.31932019057482e-11,4.09019085457784e-11,"GUCA2A","Up"
"27151",73.5611195366205,-0.816841830307893,0.120724111412365,-6.76618631316952,1.32221257841716e-11,4.09871666665848e-11,"CPAMD8","NS"
"10297",150.47874398084,0.478038545111164,0.0706694764419409,6.76442743288046,1.33837419857338e-11,4.14836940808482e-11,"APC2","NS"
"10915",907.491886439537,0.376192002341349,0.0556144633883115,6.76428359498319,1.33970439101203e-11,4.15159873586187e-11,"TCERG1","NS"
"100463486",77.9053161481539,-1.05182408190125,0.155496648696389,-6.7642877883173,1.33966559333565e-11,4.15159873586187e-11,"MTRNR2L8","Down"
"100302185",5.15664178085213,1.15871301993985,0.171308858926838,6.7638826573161,1.34341904447713e-11,4.16266210919435e-11,"MIR1204","Up"
"6442",43.4186890102961,-1.07578558534666,0.159057906409516,-6.7634838759722,1.34712372593388e-11,4.17369220650282e-11,"SGCA","Down"
"105375328",8.59234667509935,1.06727847942005,0.157819640949164,6.76264673396283,1.35493336117663e-11,4.19743663244024e-11,NA,"Up"
"5514",1884.07245278215,-0.332925503890621,0.0492348427885355,-6.7619897827346,1.36109304755559e-11,4.21606513751811e-11,"PPP1R10","NS"
"84865",337.127181062933,0.405772997746186,0.0600177609871648,6.7608819634735,1.37154232547245e-11,4.24797546665471e-11,"CCDC142","NS"
"55756",133.851225568919,0.377811590279869,0.0559053235896465,6.75806105788893,1.39850598183909e-11,4.33102218141759e-11,"INTS9","NS"
"107986235",3.17626200494624,2.87042216384084,0.424754660207615,6.75783559958544,1.40068329563632e-11,4.33729866104676e-11,"LOC107986235","Up"
"158381",10.0645818363639,0.817465679600083,0.12097464952344,6.75733042269893,1.4055739906759e-11,4.35197503316683e-11,"ATP8B5P","NS"
"102724852",14232.884676269,1.52132373430716,0.225162693071931,6.75655328843112,1.41313021799357e-11,4.3749004534271e-11,NA,"Up"
"100128338",19.2802650037715,0.83457280759555,0.12352336847399,6.75639612087884,1.41466321809836e-11,4.37917568040381e-11,NA,"NS"
"105379085",1.72687948023577,2.30029615002877,0.340480869252346,6.7560217262131,1.41832159887868e-11,4.39002852584998e-11,"LOC105379085","Up"
"2079",809.703061397324,0.338526710412804,0.0501106552716239,6.75558338995619,1.42261655771993e-11,4.40284918100146e-11,"ERH","NS"
"105370756",66.2690507581969,-0.875409228884866,0.129583591239894,-6.75555616655391,1.42288372103506e-11,4.40320281521252e-11,"LOC105370756","NS"
"51067",271.851971152186,0.259072922894531,0.0383500444947089,6.75547906939912,1.42364059891178e-11,4.40507166299144e-11,"YARS2","NS"
